CALLS,,,,,"Expires Mar 17, 2023",,,PUTS,,,,
LAST,CHG,BID,ASK,VOL,OPEN INT.,STRIKE,LAST,CHG,BID,ASK,VOL,OPEN INT.
178.17,-1.98,178.25,179.45,20,48,1.67,0.01,0,0,0.01,20,"25,019"
202.2,0,176.6,177.8,0,13,3.33,0.01,0,0,0.01,0,"6,969"
175.7,4.65,174.9,176.1,3,12,5,0.01,0,0,0.01,0,"8,260"
192,0,173.25,174.45,0,57,6.67,0.01,0,0,0.01,0,"4,670"
165.5,0,171.6,172.8,0,9,8.33,0.01,0,0,0.01,0,"1,379"
169.1,-20.95,169.9,171.1,92,30,10,0.01,0,0,0.01,0,"4,105"
98.95,0,168.25,169.45,0,"1,692",11.67,0.01,0,0,0.01,0,"5,414"
159.3,0,166.6,167.8,0,"1,657",13.33,0.01,0,0,0.01,0,"2,125"
173.37,0,164.9,166.1,0,987,15,0.01,0,0,0.01,0,"5,169"
156.2,0,163.25,164.45,0,862,16.67,0.01,0,0,0.01,0,"15,328"
174.5,0,161.6,162.8,0,449,18.33,0.01,0,0,0.01,10,"12,019"
146.7,0.19,146.6,147.8,72,360,33.33,0.01,0,0,0.01,5,"33,764"
130.13,-0.87,129.95,131.15,82,863,50,0.01,0,0,0.01,3,"25,305"
120.51,0,125.25,125.75,0,33,55,0.01,0,0,0.01,0,"10,794"
119.9,3.8,119.95,120.75,1,178,60,0.01,0,0,0.01,5,"9,875"
129.4,0,114.95,116.15,0,23,65,0.01,0,0,0.01,0,"3,393"
113.45,3.1,113.65,114.1,6,856,66.67,0.01,0,0,0.01,7,"18,711"
102.3,0,110.35,111.15,0,49,70,0.01,0,0,0.01,7,"7,576"
98.57,0,104.95,105.8,0,53,75,0.01,0,0,0.01,0,"5,561"
93.72,0,100.35,100.8,0,190,80,0.01,0,0,0.01,0,"13,043"
88.15,0,97,97.45,0,884,83.33,0.01,0,0,0.01,3,"5,350"
94.13,3.46,95.35,95.8,1,89,85,0.01,0,0,0.01,1,"3,951"
90,-2.6,90.35,90.8,179,691,90,0.01,0,0,0.01,21,"16,493"
82.9,-4.85,85.35,85.8,3,297,95,0.01,0,0,0.01,20,"3,747"
80.55,-1.91,80.35,80.8,8,"1,551",100,0.01,0,0,0.01,71,"44,117"
74.13,-0.4,75.35,75.8,2,"1,389",105,0.01,0,0,0.01,8,"6,482"
70.1,-1.8,70.35,70.8,7,"2,676",110,0.01,0,0,0.01,109,"13,580"
64.74,-1.4,65.3,65.8,90,"6,270",115,0.01,0,0,0.01,192,"13,816"
61.25,-3.05,63.7,64.15,4,"1,364",116.67,0.01,0,0,0.02,255,"11,585"
59.14,-1.91,60.3,60.8,72,"12,158",120,0.01,0,0,0.02,814,"28,259"
56.18,-2.97,57.05,57.85,5,"2,760",123.33,0.01,0,0,0.02,685,"6,952"
54.91,-1.82,55.3,55.8,58,"3,449",125,0.01,0,0.01,0.02,630,"14,518"
53.17,-3.49,53.7,54.15,11,"1,651",126.67,0.01,-0.01,0.01,0.02,40,"5,035"
49.98,-1.31,50.3,50.8,265,"6,981",130,0.02,0,0.01,0.02,363,"14,620"
45.4,-4.6,47.05,47.5,16,"3,389",133.33,0.02,-0.01,0.01,0.03,114,"12,202"
42.64,-4.29,45.4,45.8,24,"27,550",135,0.02,-0.01,0.01,0.03,"1,128","37,048"
40.5,-3.75,43.65,44.15,12,"2,711",136.67,0.01,-0.01,0.01,0.02,117,"6,009"
40,-3.45,40.4,40.85,194,"6,705",140,0.03,-0.01,0.02,0.03,"1,742","32,578"
33.84,-4.76,37,37.5,37,"2,373",143.33,0.02,-0.02,0.02,0.04,770,"6,960"
34.69,-0.99,35.35,35.85,186,"2,873",145,0.04,0.01,0.03,0.04,"1,777","11,608"
33.45,-1,33.75,34.55,3,"2,067",146.67,0.03,-0.02,0.03,0.04,725,"7,537"
29.9,-2.8,32.35,32.85,20,55,148,0.05,-0.01,0.03,0.05,803,"1,100"
29.05,-3.3,31.35,31.85,13,196,149,0.05,-0.01,0.02,0.05,532,"1,272"
30.15,-3.25,30.05,30.85,515,"10,538",150,0.06,-0.02,0.05,0.06,"7,162","42,854"
25.85,-1.4,27.1,27.55,14,"1,786",153.33,0.08,-0.02,0.05,0.07,531,"5,242"
25.88,-2.63,25.45,25.9,493,"4,995",155,0.08,-0.03,0.08,0.09,"2,946","12,896"
23.35,-3.55,23.75,24.25,114,"2,144",156.67,0.09,-0.02,0.08,0.11,"1,133","4,874"
20.2,-3,20.45,21.35,663,"8,758",160,0.15,-0.02,0.14,0.15,"23,992","45,126"
17.4,-2.51,17.2,18.1,113,"3,754",163.33,0.22,-0.03,0.22,0.25,"4,427","9,516"
15.62,-3.03,15.7,16.5,"2,197","12,687",165,0.3,0,0.28,0.31,"18,579","19,683"
14,-2.9,14.1,14.55,747,"5,947",166.67,0.41,0.03,0.35,0.43,"6,455","19,743"
13.2,-3.05,13.25,13.75,894,"1,856",167.5,0.47,0.05,0.4,0.49,"11,576","7,343"
11.15,-3.05,11.1,11.45,"10,321","14,670",170,0.65,0.03,0.65,0.68,"62,471","40,653"
8.84,-3.01,8.9,9.2,"2,849","2,764",172.5,1.01,0.13,0.96,1.05,"13,769","8,086"
8.05,-3,8.2,8.55,"2,283","3,985",173.33,1.16,0.17,1.08,1.2,"12,681","9,555"
7.07,-2.63,6.95,7.2,"22,672","12,774",175,1.49,0.24,1.45,1.56,"77,366","17,546"
5.7,-2.58,5.7,6.05,"8,318","3,828",176.67,1.98,0.37,1.9,2.01,"22,107","5,289"
5.25,-2.45,5.2,5.5,"30,332","5,853",177.5,2.15,0.35,2.11,2.27,"63,418","7,835"
3.7,-2.3,3.65,3.8,"143,118","43,655",180,3.12,0.53,3.05,3.25,"96,414","34,234"
"Current price as of Mar 15, 2023 4:00 p.m.",,,,,,180.45,,,,,,
2.5,-1.9,2.45,2.55,"63,110","7,537",182.5,4.62,1.07,4.3,4.6,"17,226","14,505"
2.15,-1.86,2.09,2.19,"19,072","6,438",183.33,5.15,1.15,4.8,5.1,"6,296","7,134"
1.58,-1.67,1.57,1.62,"84,416","20,810",185,6.15,1.35,5.9,6.15,"11,925","10,445"
1.17,-1.39,1.11,1.2,"34,011","8,396",186.67,7.45,1.65,7.1,7.45,"2,669","4,488"
0.95,-1.26,0.94,1,"13,919","10,255",187.5,9.2,2.95,7.7,8.05,"4,016","2,526"
0.56,-0.93,0.55,0.59,"58,049","41,616",190,10.5,2.5,9.8,10.2,"6,708","29,454"
0.33,-0.62,0.32,0.35,"12,536","11,852",192.5,13.6,3.5,11.65,12.55,823,"2,292"
0.26,-0.52,0.26,0.3,"4,507","6,679",193.33,14.35,3.65,12.8,13.3,293,"5,353"
0.2,-0.4,0.18,0.21,"13,631","24,472",195,14.59,2.19,14.4,14.9,"1,473","16,858"
0.14,-0.29,0.13,0.16,"3,977","4,394",196.67,16.8,3.2,16,16.55,88,"4,117"
0.12,-0.28,0.11,0.13,"4,367","3,862",197.5,17.67,3.17,16.8,17.35,148,"4,337"
0.1,-0.23,0.09,0.1,"1,222","6,071",198.33,18.1,2.6,17.25,18.15,127,"4,090"
0.08,-0.16,0.06,0.09,"24,376","73,250",200,19.85,2.85,19,19.95,774,"40,137"
0.06,-0.13,0.05,0.06,"1,187","8,475",201.67,22.2,3.15,20.6,21.7,75,"2,940"
0.04,-0.1,0.04,0.06,"1,339","3,960",202.5,22.3,2.9,21.4,22.55,50,"1,094"
0.05,-0.08,0.04,0.05,687,"4,614",203.33,22.75,2.35,22.25,23.35,49,"3,508"
0.04,-0.06,0.03,0.04,"3,688","16,421",205,25.13,3.33,24,25,127,"11,157"
